,,Registration Number,Status,File Number,Owner Name,Latitude/Longitude,Structure City/State,Overall Height Above Ground (AGL)
6,86.0,1211603,Constructed,A0197708,TOWN TAXI OF CAPE COD,41-40-20.4N 070-17-49.1W,"Hyannis, MA",26.5
7,87.0,1211911,Constructed,A0204891,Entergy Nuclear Generation Company,41-56-47.3N 070-35-01.4W,"Plymouth, MA",73.2
8,88.0,1211913,Constructed,A0204892,Entergy Nuclear Generation Company,41-56-01.6N 070-34-58.1W,"Plymouth, MA",66.3
9,89.0,1212254,Constructed,A0826764,"SEACOAST LIMITED PARTNERSHIP, LLP",41-42-31.0N 070-25-38.0W,"Sandwich, MA",54.9
10,90.0,1212445,Granted,A0123238,"Weathermark Investments, Inc F.K.A. Buckley & Scott Co., Inc.",41-34-44.3N 070-34-07.1W,"EAST FALMOUTH, MA",44.2
1,91.0,1212527,Granted,A0123593,Corp Brothers Inc,41-39-55.4N 070-17-28.1W,"Hyannis, MA",25.9
2,92.0,1212531,Granted,A0123603,Corp Brothers Inc,41-39-40.4N 070-56-19.1W,"New Bedford, MA",42.4
3,93.0,1216488,Dismantled,A0333779,"SBA Properties, Inc.",41-41-33.4N 070-08-51.1W,"South Dennis, MA",91.4
4,94.0,1216584,Constructed,A0815634,"American Towers, LLC.",41-34-54.4N 070-32-21.0W,"East Falmouth, MA",32.3
5,95.0,1216652,Constructed,A1082699,AT&T Mobility Spectrum LLC,41-43-56.1N 070-27-31.2W,"SANDWICH, MA",16.8
6,96.0,1216830,Constructed,A1052317,"Industrial Tower and Wireless, LLC",41-54-43.1N 070-52-13.5W,"Middleboro, MA",60.9
7,97.0,1217409,Cancelled,A0508841,"NEW CINGULAR WIRELESS PCS, LLC",41-43-44.0N 070-23-58.0W,"SANDWICH, MA",18.3
8,98.0,1217933,Constructed,A0232873,"Industrial Communications & Electronics, Inc.",41-51-37.9N 070-43-35.6W,"Carver, MA",48.7
9,99.0,1217936,Constructed,A0142606,"Industrial Communications & Electronics, Inc.",41-59-40.0N 070-53-48.0W,"Halifax, MA",48.7
10,100.0,1218840,Cancelled,A0145903,Sprint Spectrum L.P.,41-50-29.7N 070-59-30.7W,"LAKEVILLE, MA",37.2
1,101.0,1218872,Constructed,A0232875,"Industrial Communications & Electronics, Inc.",41-57-09.8N 070-46-18.8W,"Plympton, MA",57.9
2,102.0,1218947,Cancelled,A0518783,"NEW CINGULAR WIRELESS PCS, LLC",41-38-59.6N 070-25-27.8W,"MARSTONS MILLS, MA",29.0
3,103.0,1219338,Dismantled,A0521905,Omnipoint Communications Inc.,41-40-48.6N 070-56-27.6W,"New Bedford, MA",21.6
4,104.0,1219339,Dismantled,A0978366,T-Mobile Northeast LLC,41-40-59.4N 070-56-29.4W,"New Bedford, MA",33.5
5,105.0,1219371,Constructed,A0626051,Green Mountain Realty,41-40-29.4N 070-56-23.2W,"New Bedford, MA",40.8
6,106.0,1219482,Constructed,A0749132,T-Mobile Northeast LLC,41-40-11.0N 070-13-55.0W,"Yarmouth, MA",48.8
7,107.0,1226932,Constructed,A1026411,STC Six Company,41-41-10.4N 070-17-50.2W,"HYANNIS, MA",27.1
8,108.0,1228642,Constructed,A0590468,SBA Towers II LLC,42-01-55.0N 070-51-43.2W,"Hanson, MA",45.7
9,109.0,1230486,Granted,A0219915,Commonwealth of Massachusetts Department of State Police,41-41-17.3N 070-12-56.0W,"Yarmouth, MA",54.8
10,110.0,1230487,Granted,A0232428,Commonwealth of Massachusetts Department of State Police,41-44-38.6N 070-35-16.0W,"Bourne, MA",59.4
1,111.0,1230930,Constructed,A0360975,"Industrial Communications & Electronics, Inc.",41-39-33.0N 070-24-00.5W,"Barnstable, MA",60.9
2,112.0,1231034,Constructed,A1020867,Pinnacle Towers LLC,41-41-20.1N 070-20-47.1W,"Barnstable, MA",128.3
3,113.0,1231044,Cancelled,A0330734,"Sprint Spectrum, L.P.",41-54-37.8N 070-42-30.0W,"PLYMOUTH, MA",48.1
4,114.0,1232457,Constructed,A1023018,T-Mobile USA Tower LLC,41-57-34.0N 070-40-08.1W,"Plymounth, MA",27.7
5,115.0,1232599,Cancelled,A0345971,"Omnipoint Holdings, Inc.",41-40-29.3N 070-56-23.2W,"New Bedford, MA",10.3
6,116.0,1232601,Constructed,A0815829,"American Towers, LLC.",41-55-03.3N 070-57-42.2W,"Middleboro, MA",47.8
